SubCode,Class,Day,StartTime,EndTime,Room,Teacher
ACCY121,Lecture,Monday,10:30,12:30,0.17-Lecture Theatre,Khairul Kamarudin
ACCY121,Lecture,Tuesday,14:30,16:30,0.17-Lecture Theatre,Khairul Kamarudin
ACCY121,Tutorial,Thursday,14:30,16:30,2.70-Block 19,Yusra Ghani
ACCY121,Tutorial,Monday,12:30,14:30,4.51-Tutorial Room,Yusra Ghani
ACCY121,Tutorial,Tuesday,12:30,14:30,6.28-Seminar/Tutorial,Yusra Ghani
ACCY121,Tutorial,Wednesday,08:30,10:30,4.50-Classroom B,Marryam Yasir
ACCY121,Tutorial,Wednesday,10:30,12:30,4.50-Classroom B,Marryam Yasir
ACCY121,Tutorial,Wednesday,14:30,16:30,5.17-Classroom VC,Marryam Yasir
ACCY121,Tutorial,Thursday,10:30,12:30,2.68-Block 19,Marryam Yasir
ACCY121,Tutorial,Tuesday,16:30,18:30,5.18-Classroom A,Marryam Yasir
ACCY121,Tutorial,Friday,14:30,16:30,6.38-Classroom B,Alfiya Thaha
ACCY121,Tutorial,Friday,10:30,12:30,4.47-Classroom A,Alfiya Thaha
ACCY121,Tutorial,Wednesday,16:30,18:30,2.71-Block 19,Alfiya Thaha
ACCY121,Tutorial,Tuesday,16:30,18:30,6.28-Seminar/Tutorial,Alfiya Thaha
ACCY121,Tutorial,Friday,08:30,10:30,5.12-Informal Classroom,Afrah Siddiqui
ACCY121,Tutorial,Friday,10:30,12:30,5.12-Informal Classroom,Afrah Siddiqui
ACCY122,Lecture,Tuesday,14:30,16:30,2.66/67-Combined-Block 19,Muhabie Mengistu
ACCY122,Tutorial,Wednesday,14:30,16:30,2.61-Block 19,Yusra Ghani
ACCY122,Tutorial,Thursday,12:30,14:30,6.32-Classroom B,Yusra Ghani
ACCY122,Tutorial,Wednesday,12:30,14:30,2.68-Block 19,Yusra Ghani
ACCY122,Tutorial,Wednesday,14:30,16:30,2.68-Block 19,Muhabie Mengistu
ACCY201,Computer Lab,Monday,10:30,12:30,4.42-Computer Lab (Single Screen),Muhabie Mengistu
ACCY201,Computer Lab,Monday,14:30,16:30,6.33-Computer Lab,Yusra Ghani
ACCY201,Computer Lab,Tuesday,14:30,16:30,6.39-Computer Lab,Yusra Ghani
ACCY201,Lecture,Wednesday,10:30,13:30,5.134-Classroom A 5.13 & 5.14,Muhabie Mengistu
ACCY312,Lecture,Tuesday,10:30,12:30,6.345-Classroom A 6.34 & 6.35,Namrata Gupta
ACCY312,Tutorial,Thursday,08:30,10:30,2.68-Block 19,Marryam Yasir
ACCY312,Tutorial,Tuesday,14:30,16:30,5.19-Classroom A,Marryam Yasir
ACCY312,Tutorial,Tuesday,12:30,14:30,4.45-Classroom B,Marryam Yasir
ACCY801,Lecture,Monday,18:00,22:00,5.17-Classroom VC,Namrata Gupta
ACCY801,Lecture,Tuesday,18:00,22:00,6.38-Classroom B,Namrata Gupta
ARA101,Tutorial A,Monday,08:30,10:30,5.18-Classroom A,Katia Freywat
ARA101,Tutorial A,Monday,10:30,12:30,5.18-Classroom A,Katia Freywat
ARA101,Tutorial A,Tuesday,13:30,15:30,6.32-Classroom B,Katia Freywat
ARA101,Tutorial B,Tuesday,15:30,17:30,6.32-Classroom B,Katia Freywat
ARA101,Tutorial B,Thursday,08:30,10:30,5.12-Informal Classroom,Katia Freywat
ARA101,Tutorial B,Thursday,12:30,14:30,5.17-Classroom VC,Katia Freywat
BCM110,Lecture,Monday,14:30,16:30,4.44-Classroom B,Deborah Hardt
BCM110,Tutorial,Tuesday,08:30,10:30,3.42-Classroom B,Mira Hanafy
BCM110,Tutorial,Tuesday,12:30,14:30,5.12-Informal Classroom,Mira Hanafy
BCM110,Tutorial,Thursday,10:30,12:30,6.38-Classroom B,Roaa Ataya
BCM110,Tutorial,Thursday,08:30,10:30,6.38-Classroom B,Roaa Ataya
BCM114,Lecture,Tuesday,16:30,18:30,0.17-Lecture Theatre,Michael Mallory
BCM114,Tutorial,Wednesday,10:30,12:30,5.12-Informal Classroom,Mira Hanafy
BCM114,Tutorial,Wednesday,12:30,14:30,5.19-Classroom A,Mira Hanafy
BCM114,Tutorial,Thursday,14:30,16:30,4.44-Classroom B,Mira Hanafy
BCM114,Tutorial,Wednesday,10:30,12:30,3.45-Classroom B,Roaa Ataya
BCM114,Tutorial,Wednesday,12:30,14:30,3.45-Classroom B,Roaa Ataya
BCM114,Tutorial,Thursday,14:30,16:30,3.45-Classroom B,Roaa Ataya
BCM115,Lecture,Monday,08:30,10:30,5.134-Classroom A 5.13 & 5.14,Aaron Anderson
BCM115,Lecture,Monday,12:30,14:30,5.134-Classroom A 5.13 & 5.14,Aaron Anderson
BCM115,Tutorial,Thursday,10:30,12:30,5.15-MAC Lab,Daniel Chedid
BCM115,Tutorial,Thursday,14:30,16:30,5.15-MAC Lab,Daniel Chedid
BCM115,Tutorial,Wednesday,10:30,12:30,5.15-MAC Lab,Andrew Smith
BCM115,Tutorial,Wednesday,12:30,14:30,5.15-MAC Lab,Andrew Smith
BCM115,Tutorial,Wednesday,16:30,18:30,5.15-MAC Lab,Andrew Smith
BCM215,Lecture,Monday,12:30,14:30,5.11-Classroom B,Jad Yammine
BCM215,Tutorial,Wednesday,14:30,16:30,2.71-Block 19,Hamda Al Khaja
BCM215,Tutorial,Thursday,12:30,14:30,6.28-Seminar/Tutorial,Hamda Al Khaja
BCM215,Tutorial,Thursday,14:30,16:30,6.28-Seminar/Tutorial,Hamda Al Khaja
BCM216,Lecture,Monday,10:30,12:30,2.61-Block 19,Jad Yammine
BCM216,Tutorial,Tuesday,14:30,16:30,5.17-Classroom VC,Hamda Al Khaja
BCM216,Tutorial,Tuesday,16:30,18:30,5.17-Classroom VC,Jad Yammine
BCM216,Tutorial,Monday,16:30,18:30,2.61-Block 19,Jad Yammine
BCM241,Lecture,Monday,08:30,10:30,2.66/67-Combined-Block 19,Deborah Hardt
BCM241,Tutorial,Thursday,14:30,16:30,3.42-Classroom B,Rahaf Nassif
BCM241,Tutorial,Tuesday,08:30,10:30,5.17-Classroom VC,Elizaveta Vartanian
BCM241,Tutorial,Thursday,08:30,10:30,5.19-Classroom A,Elizaveta Vartanian
BCM241,Tutorial,Wednesday,08:30,10:30,2.70-Block 19,Elizaveta Vartanian
BCM241,Tutorial,Friday,10:30,12:30,3.42-Classroom B,Rahaf Nassif
BCM313,Lecture,Tuesday,14:30,16:30,6.345-Classroom A 6.34 & 6.35,Michael Mallory
BCM313,Tutorial,Wednesday,08:30,10:30,4.45-Classroom B,Negin Chabook
BCM313,Tutorial,Friday,10:30,12:30,5.10-Classroom B,Negin Chabook
BCM313,Tutorial,Friday,08:30,10:30,5.10-Classroom B,Negin Chabook
BCM313,Tutorial,Wednesday,12:30,14:30,2.65-Block 19,Negin Chabook
BCM325,Lecture,Wednesday,12:30,14:30,2.61-Block 19,Aaron Anderson
BCM325,Tutorial,Thursday,10:30,12:30,4.50-Classroom B,Rahaf Nassif
BCM325,Tutorial,Friday,08:30,10:30,3.42-Classroom B,Rahaf Nassif
BUS030,Lecture,Monday,14:30,16:30,6.345-Classroom A 6.34 & 6.35,Monika Yadav
BUS030,Lecture,Monday,14:30,16:30,2.66/67-Combined-Block 19,Nikita Kirplani
BUS030,Lecture,Monday,14:30,16:30,4.467-Classroom A 4.46 & 4.47,Vidhi Sharma
BUS030,Tutorial,Thursday,14:30,16:30,2.65-Block 19,Monika Yadav
BUS030,Tutorial,Thursday,12:30,14:30,2.70-Block 19,Monika Yadav
BUS030,Tutorial,Friday,14:30,16:30,3.45-Classroom B,Monika Yadav
BUS030,Tutorial,Friday,10:30,12:30,2.66-Block 19,Monika Yadav
BUS030,Tutorial,Thursday,12:30,14:30,2.71-Block 19,Sina Aneesh
BUS030,Tutorial,Thursday,14:30,16:30,2.71-Block 19,Sina Aneesh
BUS030,Tutorial,Friday,10:30,12:30,2.61-Block 19,Everyl Colaco
BUS030,Tutorial,Friday,14:30,16:30,4.48-Classroom B,Sina Aneesh
BUS030,Tutorial,Thursday,14:30,16:30,2.61-Block 19,Sameera Siddiqui
BUS030,Tutorial,Friday,10:30,12:30,2.62-Block 19,Sina Aneesh
BUS030,Tutorial,Thursday,12:30,14:30,2.64-Block 19,Sameera Siddiqui
BUS030,Tutorial,Friday,14:30,16:30,4.45-Classroom B,Sameera Siddiqui
BUS101,Lecture,Friday,10:30,12:30,0.17-Lecture Theatre,Flevy Lasrado
BUS101,Lecture,Friday,14:30,16:30,0.17-Lecture Theatre,Flevy Lasrado
BUS101,Lecture,Thursday,10:30,12:30,0.17-Lecture Theatre,Flevy Lasrado
BUS101,Tutorial,Tuesday,08:30,10:30,2.65-Block 19,Donia Rawashdeh
BUS101,Tutorial,Tuesday,12:30,14:30,5.18-Classroom A,Donia Rawashdeh
BUS101,Tutorial,Tuesday,14:30,16:30,5.18-Classroom A,Donia Rawashdeh
BUS101,Tutorial,Wednesday,16:30,18:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Tuesday,16:30,18:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Monday,10:30,12:30,3.45-Classroom B,Shaimaa Elsaid
BUS101,Tutorial,Tuesday,10:30,12:30,4.50-Classroom B,Shaimaa Elsaid
BUS101,Tutorial,Monday,14:30,16:30,3.48-Classroom B,Flevy Lasrado
BUS101,Tutorial,Wednesday,13:30,15:30,2.70-Block 19,Soha Chahine
BUS101,Tutorial,Wednesday,16:30,18:30,2.68-Block 19,Soha Chahine
BUS101,Tutorial,Monday,10:30,12:30,4.48-Classroom B,Soha Chahine
BUS101,Tutorial,Tuesday,14:30,16:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Thursday,12:30,14:30,6.38-Classroom B,Flevy Lasrado
BUS101,Tutorial,Wednesday,14:30,16:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Tuesday,08:30,10:30,4.50-Classroom B,Shaimaa Elsaid
